Season,TeamID,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Dbl Dbl
2020-2021,,A&M-Corpus Christi,Southland,2,Angel Felan,Jr,S,5-7,19,3.0,67,7,3,23,0.174,62.0,4.0,16.0,104.0,,,,,,11.0,5.0,,
2020-2021,,A&M-Corpus Christi,Southland,5,Carissa Barnes,So,L,5-7,69,,69,1,0,7,0.143,49.0,40.0,30.0,398.0,,17.0,,1.0,,41.5,,,
2020-2021,,A&M-Corpus Christi,Southland,7,Chloe Simon,Sr,OH,6-1,19,19.0,69,201,58,513,0.279,27.0,2.0,7.0,127.0,,36.0,11.0,16.0,,222.0,2.0,,
2020-2021,,A&M-Corpus Christi,Southland,16,Ella Litterell,Fr,OH,6-2,53,,53,9,7,39,0.051,6.0,7.0,8.0,35.0,,6.0,,2.0,,17.0,,,
2020-2021,,A&M-Corpus Christi,Southland,6,Faith Panhans,So,S,5-11,19,19.0,69,114,24,259,0.347,686.0,18.0,29.0,137.0,,2.0,3.0,18.0,2.0,144.0,13.0,1.0,
2020-2021,,A&M-Corpus Christi,Southland,21,Hannah Froeschl,Sr,MH,5-10,15,14.0,53,133,32,289,0.349,12.0,,,17.0,,,10.0,28.0,1.0,157.0,3.0,,
2020-2021,,A&M-Corpus Christi,Southland,17,Julia Carter,Jr,MB,6-6,19,6.0,50,61,27,196,0.173,8.0,,,18.0,,,3.0,7.0,1.0,67.5,2.0,,
2020-2021,,A&M-Corpus Christi,Southland,13,Kaylee Payne,Jr,L/DS,5-9,19,4.0,66,1,0,7,0.143,14.0,14.0,23.0,103.0,,13.0,,,,15.0,,,
2020-2021,,A&M-Corpus Christi,Southland,1,Kylie Filipiak,Jr,OH,5-9,15,15.0,54,117,41,335,0.227,5.0,,2.0,53.0,,1.0,2.0,8.0,,123.0,,,
2020-2021,,A&M-Corpus Christi,Southland,11,Liza Buzhanski,Sr,L/DS,5-8,17,,17,0,0,1,0.0,2.0,,1.0,10.0,,2.0,,,,,,,
2020-2021,,A&M-Corpus Christi,Southland,3,Madeline Harkey,Fr,S,5-9,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,A&M-Corpus Christi,Southland,12,Montez Uigaese,Sr,MB,6-2,19,12.0,68,125,41,350,0.24,1.0,3.0,3.0,25.0,,,7.0,15.0,,142.5,1.0,,
2020-2021,,A&M-Corpus Christi,Southland,8,Rachel Young,Jr,MB,6-1,19,19.0,69,200,45,437,0.355,23.0,5.0,13.0,72.0,,2.0,5.0,28.0,,224.0,2.0,,
2020-2021,,A&M-Corpus Christi,Southland,14,Sam Dumity,Jr,MB,6-0,4,3.0,16,25,10,68,0.221,4.0,2.0,5.0,11.0,,,2.0,3.0,,30.5,,,
2020-2021,,Abilene Christian,Southland,1,Alexis Vaughn,Fr,DS,5-6,8,,8,0,0,0,,,,,3.0,,,,,,,,,
2020-2021,,Abilene Christian,Southland,15,Braden Bossier,Fr,MB,6-2,15,15.0,55,83,47,247,0.146,1.0,2.0,12.0,26.0,,,4.0,48.0,4.0,113.0,,,
2020-2021,,Abilene Christian,Southland,6,Breanna Box,So,MB,6-2,15,15.0,59,113,46,286,0.234,3.0,,,12.0,,1.0,6.0,36.0,5.0,137.0,1.0,,
2020-2021,,Abilene Christian,Southland,22,Brittney Roberts,Jr,OH,5-9,7,,7,0,0,0,,,1.0,1.0,1.0,,,,,,1.0,,,
2020-2021,,Abilene Christian,Southland,14,Emily Van Dyke,Fr,OH,5-11,9,1.0,17,33,13,103,0.194,2.0,,4.0,29.0,,2.0,1.0,1.0,2.0,34.5,,,
2020-2021,,Abilene Christian,Southland,11,Erin Treybig,Fr,S,6-0,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,Abilene Christian,Southland,24,Kate Blasingame,Jr,OH,5-10,15,14.0,48,90,48,335,0.125,5.0,9.0,14.0,121.0,,14.0,1.0,5.0,,102.5,,,
2020-2021,,Abilene Christian,Southland,4,Katelyn Mueller,Sr,OH,6-0,15,15.0,59,233,106,739,0.172,15.0,17.0,15.0,152.0,,11.0,3.0,18.0,,262.0,2.0,,
2020-2021,,Abilene Christian,Southland,10,Lindsey Toney,Jr,OH,6-0,15,14.0,58,118,55,297,0.212,1.0,,,27.0,,,,42.0,3.0,139.0,,,
2020-2021,,Abilene Christian,Southland,16,Logan Browning,So,L/DS,5-2,15,1.0,59,0,0,0,,7.0,4.0,10.0,109.0,,9.0,,,,4.0,,,
2020-2021,,Abilene Christian,Southland,3,Mackenzie Harris,So,L,5-8,59,,59,3,0,8,0.375,52.0,24.0,12.0,248.0,,16.0,,,,27.0,,,
2020-2021,,Abilene Christian,Southland,5,Madison Rohre,Jr,S,5-5,15,14.0,59,3,0,20,0.15,285.0,3.0,9.0,103.0,,,,1.0,1.0,6.5,16.0,,
2020-2021,,Abilene Christian,Southland,8,Sarah Nading,Fr,S,5-10,15,1.0,59,16,9,64,0.109,253.0,,,22.0,,,,20.0,,26.0,5.0,,
2020-2021,,Abilene Christian,Southland,17,Zoe Dalessandri,Fr,MB,6-2,6,,6,3,0,8,0.375,,,1.0,1.0,,,,3.0,,4.5,,,
2020-2021,,Air Force,Mountain West,8,Aaryn Scires,Fr,MB,5-11,9,5.0,21,22,14,68,0.118,3.0,,,13.0,,,3.0,13.0,,31.5,,,
2020-2021,,Air Force,Mountain West,13,Abigail Collins,Jr,S,5-11,28,,28,7,1,18,0.333,113.0,9.0,17.0,31.0,,,1.0,1.0,,17.5,3.0,,
2020-2021,,Air Force,Mountain West,1,Alex King,Sr,L/DS,5-5,13,4.0,51,0,0,1,0.0,5.0,5.0,9.0,65.0,,15.0,,,,5.0,,,
2020-2021,,Air Force,Mountain West,20,Allie Griffith,Fr,L/DS,5-5,1,,1,0,0,0,,,,,1.0,,,,,,,,,
2020-2021,,Air Force,Mountain West,2,Amber Soto,Fr,S,6-0,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,Air Force,Mountain West,22,Andi Ahlers,Sr,S,5-9,13,13.0,53,7,3,28,0.143,288.0,9.0,18.0,108.0,,,,,,16.0,1.0,,
2020-2021,,Air Force,Mountain West,18,Bailey Keith,Jr,OH,6-1,13,10.0,53,130,51,352,0.224,4.0,7.0,13.0,62.0,,14.0,,27.0,5.0,150.5,1.0,,
2020-2021,,Air Force,Mountain West,12,Brookelyn Messenger,So,OH,5-10,13,12.0,52,122,79,350,0.123,6.0,21.0,23.0,103.0,,25.0,,13.0,1.0,149.5,2.0,,
2020-2021,,Air Force,Mountain West,4,Cambria Galloway,Sr,MB,5-10,11,11.0,44,74,25,180,0.272,3.0,,,13.0,,1.0,3.0,18.0,1.0,86.0,,,
2020-2021,,Air Force,Mountain West,11,Caroline Reinkensmeyer,Fr,S,5-10,31,,31,1,0,9,0.111,134.0,6.0,14.0,30.0,,1.0,,,,7.0,,,
2020-2021,,Air Force,Mountain West,6,Gabby Wilson,Fr,L/DS,5-10,10,4.0,18,16,17,68,-0.015,,7.0,8.0,9.0,,3.0,,1.0,,23.5,1.0,,
2020-2021,,Air Force,Mountain West,19,Joi Harvey,Fr,MB,6-4,51,,51,118,35,238,0.349,1.0,,,13.0,,1.0,6.0,46.0,4.0,147.0,,,
2020-2021,,Air Force,Mountain West,17,Jordan Daniels,Sr,L/DS,5-7,53,,53,1,1,6,0.0,56.0,13.0,15.0,211.0,,15.0,,,,14.0,2.0,,
2020-2021,,Air Force,Mountain West,14,Lily Landis,Jr,S,5-9,6,,6,1,3,4,-0.5,,,1.0,,,,,1.0,,1.5,,,
2020-2021,,Air Force,Mountain West,16,Mackenzie Robertson,Sr,MB,6-2,2,1.0,4,2,4,10,-0.2,1.0,,,1.0,,,,3.0,,3.5,,,
2020-2021,,Air Force,Mountain West,23,Madison Felker,Fr,L/DS,5-5,3,,3,0,0,0,,,1.0,1.0,,,,,,,1.0,,,
2020-2021,,Air Force,Mountain West,9,Sarah Markwardt,So,OH,5-10,9,4.0,24,33,19,82,0.171,2.0,7.0,8.0,17.0,,2.0,,3.0,1.0,41.5,,,
2020-2021,,Air Force,Mountain West,24,Savannah Neal,Fr,S,5-10,6,5.0,23,32,20,91,0.132,2.0,,3.0,8.0,,,2.0,10.0,,39.0,,,
2020-2021,,Air Force,Mountain West,15,Taleah Cooper,So,MB,5-10,5,,5,6,4,13,0.154,,,,,,,,,1.0,6.0,,,
2020-2021,,Air Force,Mountain West,10,Vittoria Juarez,Jr,OH,6-1,12,9.0,47,102,42,253,0.237,2.0,4.0,3.0,29.0,,8.0,2.0,17.0,5.0,116.5,1.0,,
2020-2021,,Akron,Mac,10,Alexis Adleta,Sr,OH,6-2,22,21.0,86,279,143,821,0.166,5.0,13.0,23.0,233.0,,40.0,2.0,27.0,3.0,307.5,,,
2020-2021,,Akron,Mac,4,Anne Lesure,Fr,S,6-0,5,,5,0,0,0,,2.0,,3.0,1.0,,,,,,,,,
2020-2021,,Akron,Mac,6,Ari Barksdale,So,MB,6-0,13,1.0,26,10,8,46,0.043,,,,3.0,,,1.0,13.0,1.0,17.5,,,
2020-2021,,Akron,Mac,3,Emily Weigand,Sr,S,5-10,22,20.0,90,34,10,94,0.255,598.0,45.0,51.0,186.0,,,,4.0,1.0,81.0,4.0,,
2020-2021,,Akron,Mac,16,Faith Johnson,Fr,RS,5-11,20,8.0,56,101,54,340,0.138,2.0,9.0,11.0,65.0,,11.0,,14.0,3.0,117.0,,,
2020-2021,,Akron,Mac,18,Hannah Yaconis,Jr,MB,6-0,22,6.0,77,53,26,198,0.136,1.0,,,11.0,,,9.0,46.0,1.0,85.0,1.0,,
2020-2021,,Akron,Mac,5,Jayda Young,Fr,MB,6-0,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,Akron,Mac,12,Jen Durra,Jr,OH,5-11,21,13.0,66,137,63,515,0.144,3.0,8.0,9.0,107.0,,17.0,1.0,13.0,2.0,152.5,,,
2020-2021,,Akron,Mac,8,Lauren Latka,So,DS,5-7,20,2.0,78,0,1,14,-0.071,7.0,,1.0,102.0,,21.0,,,,,,,
2020-2021,,Akron,Mac,11,Megan Kelly,Jr,RS,6-0,22,19.0,90,127,65,361,0.172,2.0,4.0,7.0,19.0,,,5.0,78.0,1.0,175.0,,,
2020-2021,,Akron,Mac,1,Rachel Abramson,So,OH,6-0,3,,3,0,0,1,0.0,,,,,,,,,,,,,
2020-2021,,Akron,Mac,14,Shelby Fulmer,Sr,RS,6-0,22,20.0,82,177,61,537,0.216,9.0,16.0,15.0,70.0,,1.0,1.0,43.0,4.0,215.5,,,
2020-2021,,Akron,Mac,13,Taylor Kuruzovich,Sr,S,5-8,22,4.0,90,14,0,49,0.286,307.0,33.0,24.0,133.0,,,,,,47.0,11.0,,
2020-2021,,Akron,Mac,2,Taylor Sharrits,Sr,DS,5-7,90,,90,0,1,14,-0.071,67.0,15.0,19.0,535.0,,15.0,,,,15.0,1.0,,
2020-2021,,Akron,Mac,19,Teagan Ochaya,Jr,RS,6-3,21,18.0,82,169,75,489,0.192,1.0,,,65.0,,1.0,4.0,37.0,1.0,191.5,,,
2020-2021,,Alabama,Sec,6,Abby Marjama,Jr,OH,6-0,22,17.0,80,285,142,781,0.183,9.0,23.0,30.0,103.0,,25.0,,9.0,4.0,312.5,2.0,,
2020-2021,,Alabama,Sec,21,Allie Trame,Fr,MB,6-2,5,,5,1,1,4,0.0,,,,1.0,,,,,,1.0,,,
2020-2021,,Alabama,Sec,13,Alyiah Wells,So,MB,6-2,22,21.0,82,156,57,384,0.258,6.0,6.0,3.0,34.0,,1.0,24.0,50.0,7.0,211.0,1.0,,
2020-2021,,Alabama,Sec,23,Chaise Campbell,Fr,MB,6-3,22,21.0,82,67,31,212,0.17,,,1.0,12.0,,,5.0,43.0,5.0,93.5,,,
2020-2021,,Alabama,Sec,1,Doris Carter,Sr,OH,5-10,7,3.0,15,32,15,104,0.163,,1.0,5.0,24.0,,4.0,,2.0,,34.0,,,
2020-2021,,Alabama,Sec,22,Emily Janek,So,OPP,6-1,14,9.0,47,24,10,70,0.2,260.0,2.0,4.0,101.0,,,4.0,22.0,3.0,41.0,1.0,,
2020-2021,,Alabama,Sec,4,Katie Shook,So,DS,5-8,41,,41,0,0,1,0.0,3.0,1.0,2.0,22.0,,4.0,,,,1.0,,,
2020-2021,,Alabama,Sec,20,Kaylee Thomas,Sr,DS,5-8,8,4.0,27,0,1,4,-0.25,6.0,4.0,3.0,39.0,,3.0,,,,4.0,,,
2020-2021,,Alabama,Sec,19,Kendyl Reaugh,Fr,OH,6-3,21,20.0,75,182,115,615,0.109,11.0,17.0,36.0,160.0,,21.0,6.0,15.0,3.0,212.5,,,
2020-2021,,Alabama,Sec,11,Kennedy Muckelroy,So,RS,6-1,20,13.0,70,179,97,438,0.187,3.0,13.0,25.0,24.0,,1.0,6.0,17.0,4.0,206.5,,,
2020-2021,,Alabama,Sec,9,Madelyn St. Germain,Sr,L,5-6,82,,82,1,0,7,0.143,85.0,15.0,37.0,286.0,,36.0,,,,16.0,,,
2020-2021,,Alabama,Sec,10,Meghan Neelon,Sr,S,5-9,8,2.0,27,0,0,1,0.0,13.0,2.0,9.0,66.0,,3.0,,,,2.0,1.0,,
2020-2021,,Alabama,Sec,3,Riley Fisbeck,Sr,S,6-1,22,20.0,73,52,28,154,0.156,497.0,16.0,28.0,198.0,,,5.0,28.0,3.0,87.0,21.0,1.0,
2020-2021,,Alabama,Sec,14,Taylor Drapp,So,DS,5-9,18,1.0,43,0,0,0,,3.0,11.0,3.0,18.0,,2.0,,,,11.0,,,
2020-2021,,Alabama,Sec,7,Victoria Schmer,Fr,L/DS,5-4,14,1.0,38,0,0,2,0.0,3.0,6.0,5.0,13.0,,3.0,,,,6.0,,,
2020-2021,,Alcorn,Swac,3,Fiapaipai Iosia,Sr,L/DS,5-7,10,3.0,33,3,8,29,-0.172,11.0,6.0,20.0,78.0,,1.0,,,,9.0,,,
2020-2021,,Alcorn,Swac,1,Jasmine Chambers,Sr,S,5-11,10,10.0,33,12,3,62,0.145,132.0,6.0,3.0,80.0,,,,2.0,1.0,19.0,13.0,,
2020-2021,,Alcorn,Swac,12,Jeda Curry,So,OH,5-9,10,6.0,33,58,49,207,0.043,3.0,3.0,4.0,32.0,,5.0,,2.0,1.0,62.0,,,
2020-2021,,Alcorn,Swac,22,Jurnee Calhoun,Jr,S,5-4,30,,30,3,1,19,0.105,86.0,2.0,3.0,36.0,,,,,,5.0,7.0,,
2020-2021,,Alcorn,Swac,15,Kwanisha Carroll-Quarles,Jr,MB,-,3,3.0,7,3,3,17,0.0,2.0,,,1.0,,,,2.0,,4.0,,,
2020-2021,,Alcorn,Swac,18,Mae Lewis,Sr,OH,5-9,8,5.0,21,41,26,131,0.115,,,,10.0,,,,4.0,1.0,43.0,2.0,,
2020-2021,,Alcorn,Swac,7,Makayla Wardlaw,Fr,OH,5-11,9,3.0,22,21,22,82,-0.012,1.0,,,11.0,,,,4.0,1.0,23.0,,,
2020-2021,,Alcorn,Swac,11,Mar'Ria Phillips,Fr,OH,5-9,9,4.0,25,52,33,151,0.126,4.0,2.0,1.0,16.0,,2.0,1.0,7.0,2.0,58.5,,,
2020-2021,,Alcorn,Swac,28,Maria Correa-Rentas,Jr,S,5-6,4,,4,0,0,2,0.0,8.0,4.0,,5.0,,,,,,4.0,1.0,,
2020-2021,,Alcorn,Swac,21,Mariah Wilmoth,Jr,DS,5-1,33,,33,1,1,22,0.0,29.0,5.0,5.0,120.0,,5.0,,,,6.0,,,
2020-2021,,Alcorn,Swac,17,Mikenzie Young-Mullins,Jr,OH,5-8,10,10.0,33,95,51,275,0.16,9.0,13.0,8.0,88.0,,7.0,,5.0,1.0,110.5,,,
2020-2021,,Alcorn,Swac,25,Simone Barren,Jr,MB,5-9,10,9.0,32,14,8,69,0.087,4.0,8.0,7.0,17.0,,1.0,9.0,10.0,4.0,36.0,1.0,,
2020-2021,,Alcorn,Swac,13,Tiara Adams,Jr,MB,5-10,10,7.0,29,18,12,52,0.115,2.0,,1.0,10.0,,1.0,2.0,12.0,4.0,26.0,1.0,,
2020-2021,,American,Patriot,14,Allie Burke,Fr,MB,6-2,8,7.0,27,18,2,45,0.356,,,,3.0,,,,21.0,,28.5,,,
2020-2021,,American,Patriot,20,Ally Degaray,So,L,5-6,7,2.0,21,0,0,1,0.0,4.0,4.0,7.0,34.0,,4.0,,,,4.0,,,
2020-2021,,American,Patriot,10,Ariel Campbell,Fr,OH,5-10,7,,7,8,8,28,0.0,,1.0,5.0,4.0,,,,2.0,,10.0,,,
2020-2021,,American,Patriot,16,Asli Celikkol,So,OH,6-2,8,6.0,21,34,12,134,0.164,2.0,3.0,4.0,45.0,,5.0,1.0,8.0,,42.0,,,
2020-2021,,American,Patriot,21,Carlie Fikse,Jr,MB,6-4,8,8.0,32,55,10,113,0.398,3.0,2.0,7.0,11.0,,,4.0,27.0,4.0,74.5,1.0,,
2020-2021,,American,Patriot,2,Chiara Bosetti,Sr,OH,5-7,32,,32,0,0,5,0.0,19.0,7.0,6.0,139.0,,10.0,,,,7.0,2.0,,
2020-2021,,American,Patriot,11,Fanny Ahman,Jr,L,5-9,10,,10,0,0,1,0.0,3.0,1.0,4.0,18.0,,3.0,,,,1.0,,,
2020-2021,,American,Patriot,13,Griselda Memia,Fr,MB,6-5,5,1.0,8,3,1,4,0.5,,,,,,1.0,,3.0,3.0,4.5,,,
2020-2021,,American,Patriot,17,Helena Elbaek,Sr,OH,6-1,7,7.0,28,143,49,392,0.24,2.0,7.0,13.0,57.0,,12.0,3.0,16.0,2.0,161.0,,,
2020-2021,,American,Patriot,12,Inbal Peleg,So,S,5-10,7,4.0,17,13,10,56,0.054,59.0,1.0,7.0,26.0,,,,3.0,,15.5,6.0,,
2020-2021,,American,Patriot,19,Katie Putney,Fr,OH,6-5,7,2.0,23,38,12,113,0.23,,,,8.0,,,1.0,9.0,1.0,43.5,,,
2020-2021,,American,Patriot,3,Rachael Bennett,So,L,5-4,3,1.0,7,0,0,0,,1.0,,2.0,10.0,,3.0,,,,,,,
2020-2021,,American,Patriot,8,Talia Borenstein,Fr,S,5-10,7,,7,1,0,4,0.25,16.0,1.0,3.0,11.0,,,,1.0,,2.5,,,
2020-2021,,American,Patriot,9,Tyra Areskoug,Fr,S,5-9,7,5.0,25,11,2,28,0.321,232.0,,11.0,59.0,,,1.0,8.0,,16.0,7.0,,
2020-2021,,American,Patriot,1,Zeynep Uzen,So,OH,6-0,8,5.0,27,59,36,177,0.13,7.0,5.0,5.0,58.0,,7.0,1.0,4.0,1.0,67.0,2.0,,
2020-2021,,App State,Sun Belt,3,Alec Quinn,Fr,L/DS,5-2,3,,3,0,0,0,,1.0,,1.0,1.0,,1.0,,,,,,,
2020-2021,,App State,Sun Belt,1,Amya Giger,Jr,RS,6-0,11,3.0,26,29,24,96,0.052,,1.0,4.0,7.0,,,1.0,10.0,1.0,36.0,,,
2020-2021,,App State,Sun Belt,10,Anna Kincaid,Jr,MB,6-1,11,10.0,30,37,17,95,0.211,4.0,2.0,6.0,10.0,,,3.0,22.0,1.0,53.0,,,
2020-2021,,App State,Sun Belt,11,Caroline Reeder,Fr,OH,6-2,6,,6,2,2,16,0.0,1.0,,,,,,,3.0,,3.5,,,
2020-2021,,App State,Sun Belt,24,Daryn Armstrong,Jr,MB,6-0,6,5.0,17,14,14,50,0.0,,,,6.0,,,2.0,7.0,3.0,19.5,,,
2020-2021,,App State,Sun Belt,4,Emma Reilly,Sr,L/DS,5-6,57,,57,4,4,10,0.0,48.0,17.0,16.0,221.0,,18.0,,,,21.0,1.0,,
2020-2021,,App State,Sun Belt,15,Grace Kinsch,Jr,L/DS,5-5,7,2.0,20,0,0,0,,2.0,,,27.0,,4.0,,,,,,,
2020-2021,,App State,Sun Belt,6,Grace Morrison,Sr,RS,5-10,14,14.0,45,76,48,256,0.109,3.0,7.0,12.0,45.0,,1.0,1.0,31.0,3.0,99.5,,,
2020-2021,,App State,Sun Belt,18,Holli Smith,Jr,L/DS,5-6,26,,26,0,0,0,,3.0,2.0,4.0,34.0,,10.0,,,,2.0,,,
2020-2021,,App State,Sun Belt,13,Kara Spicer,Sr,MB,6-2,11,11.0,39,75,45,213,0.141,4.0,10.0,16.0,13.0,,,6.0,25.0,2.0,103.5,,,
2020-2021,,App State,Sun Belt,22,Lexi Kohut,Sr,OH,6-0,14,13.0,46,147,97,481,0.104,4.0,7.0,24.0,80.0,,20.0,5.0,23.0,1.0,170.5,,,
2020-2021,,App State,Sun Belt,21,Madison Baldridge,Fr,OH,5-10,7,1.0,14,20,14,75,0.08,,,6.0,5.0,,1.0,2.0,1.0,,22.5,,,
2020-2021,,App State,Sun Belt,5,Mccall Denny,So,OH,5-9,11,10.0,38,81,48,263,0.125,5.0,6.0,16.0,74.0,,9.0,1.0,3.0,1.0,89.5,1.0,,
2020-2021,,App State,Sun Belt,12,Morgan Flores,So,L/DS,5-5,11,,11,0,0,0,,,4.0,4.0,10.0,,,,,,4.0,,,
2020-2021,,App State,Sun Belt,17,Sam Bickley,So,S,6-0,12,6.0,31,9,3,28,0.214,181.0,4.0,8.0,46.0,,,,1.0,,13.5,5.0,,
2020-2021,,App State,Sun Belt,7,Sarah Missroon,So,MB,6-2,7,6.0,24,16,12,56,0.071,,,1.0,2.0,,,4.0,24.0,,32.0,,,
2020-2021,,App State,Sun Belt,20,Sophie Cain,Fr,S,5-10,15,10.0,43,13,5,39,0.205,271.0,15.0,18.0,88.0,,,,5.0,2.0,30.5,14.0,,
2020-2021,,App State,Sun Belt,2,Victoria Wilform,Jr,OH,5-8,16,5.0,34,55,39,190,0.084,3.0,4.0,17.0,29.0,,11.0,2.0,7.0,2.0,64.5,,,
2020-2021,,Arizona,Pac-12,1,Akia Warrior,Sr,S,6-1,10,,10,0,2,2,-1.0,18.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,
2020-2021,,Arizona,Pac-12,17,China Rai Crouch,Fr,MB,6-6,10,9.0,33,25,10,68,0.221,,,,7.0,,,6.0,19.0,1.0,40.5,,,
2020-2021,,Arizona,Pac-12,18,Dilara Gedikoglu,So,OH,5-10,21,10.0,73,53,40,188,0.069,16.0,14.0,25.0,125.0,,24.0,2.0,3.0,,70.5,,,
2020-2021,,Arizona,Pac-12,4,Emery Herman,Fr,S,6-0,21,20.0,75,61,25,180,0.2,703.0,18.0,36.0,182.0,,,3.0,34.0,4.0,99.0,10.0,,
2020-2021,,Arizona,Pac-12,11,Jaelyn Hodge,Fr,OH,6-0,21,12.0,74,176,81,463,0.205,2.0,,,48.0,,2.0,1.0,37.0,7.0,195.5,,,
2020-2021,,Arizona,Pac-12,5,Jaleesa Caroccio,Fr,L/DS,5-4,46,,46,0,0,0,,1.0,8.0,7.0,12.0,,,,,,8.0,,,
2020-2021,,Arizona,Pac-12,12,Joy Galles,Fr,L/DS,5-6,7,0.0,17,0,1,1,-1.0,,1.0,1.0,3.0,,,,,,1.0,,,
2020-2021,,Arizona,Pac-12,8,Kamaile Hiapo,So,L/DS,5-7,21,0.0,75,1,0,6,0.167,73.0,13.0,23.0,278.0,,17.0,,,,14.0,,,
2020-2021,,Arizona,Pac-12,15,Malina Kalei Ua,Jr,DS,5-4,20,5.0,66,0,0,5,0.0,13.0,8.0,12.0,90.0,,14.0,,,,8.0,,,
2020-2021,,Arizona,Pac-12,13,Merle Weidt,Jr,MB,6-1,18,11.0,52,83,19,151,0.424,1.0,,,8.0,,,9.0,33.0,3.0,108.5,1.0,,
2020-2021,,Arizona,Pac-12,10,Paige Whipple,Sr,OH,6-1,18,18.0,65,170,99,580,0.122,13.0,7.0,14.0,161.0,,19.0,1.0,19.0,4.0,187.5,,,
2020-2021,,Arizona,Pac-12,7,Simone Overbeck,Fr,OH,6-0,1,,1,0,0,2,0.0,,,,,,,,,,,,,
2020-2021,,Arizona,Pac-12,2,Sofia Maldonado Diaz,Fr,OH,6-0,21,21.0,75,272,127,684,0.212,7.0,28.0,37.0,106.0,,16.0,5.0,22.0,1.0,316.0,1.0,,
2020-2021,,Arizona,Pac-12,16,Zyonna Fellows,Jr,MB,6-4,21,20.0,75,102,39,255,0.247,1.0,,,32.0,,,5.0,56.0,7.0,135.0,1.0,,
2020-2021,,Arizona St.,Pac-12,13,Alasia Urena,Fr,L/DS,5-9,16,3.0,33,1,0,1,1.0,6.0,1.0,6.0,54.0,,3.0,,,,2.0,,,
2020-2021,,Arizona St.,Pac-12,15,Annika Larson-Nummer,So,L/DS,5-4,20,2.0,79,3,2,7,0.143,78.0,21.0,33.0,302.0,,26.0,,,,24.0,,,
2020-2021,,Arizona St.,Pac-12,14,Claudia Stahlke,Fr,MB,5-11,8,7.0,26,14,4,33,0.303,4.0,,,5.0,,,4.0,24.0,,30.0,,,
2020-2021,,Arizona St.,Pac-12,21,Ella Snyder,Fr,S,6-0,19,13.0,65,16,5,46,0.239,492.0,13.0,20.0,159.0,,1.0,,12.0,2.0,35.0,2.0,,
2020-2021,,Arizona St.,Pac-12,33,Emily Holbrook,So,L/DS,5-6,28,,28,0,0,0,,1.0,,5.0,30.0,,2.0,,,,,,,
2020-2021,,Arizona St.,Pac-12,5,Iman Isanovic,So,OH,6-1,20,20.0,78,265,117,852,0.174,9.0,26.0,35.0,153.0,,38.0,8.0,23.0,1.0,310.5,1.0,,
2020-2021,,Arizona St.,Pac-12,10,Kennedi Boyd,So,MB,6-2,16,16.0,62,61,20,156,0.263,4.0,1.0,7.0,18.0,,,6.0,65.0,7.0,100.5,,,
2020-2021,,Arizona St.,Pac-12,25,Maddie Mclaughlin,Jr,OH,6-2,16,2.0,39,17,7,72,0.139,1.0,,,8.0,,3.0,,9.0,1.0,21.5,,,
2020-2021,,Arizona St.,Pac-12,8,Madi Berkholz,So,L/DS,5-3,19,,19,0,0,0,,1.0,1.0,3.0,14.0,,1.0,,,,1.0,,,
2020-2021,,Arizona St.,Pac-12,4,Marta Levinska,Fr,OH,6-2,20,20.0,79,245,94,740,0.204,7.0,17.0,29.0,137.0,,2.0,5.0,56.0,,295.0,2.0,,
2020-2021,,Arizona St.,Pac-12,17,Megan Beedie,Sr,MB,6-1,18,17.0,72,109,36,236,0.309,5.0,17.0,20.0,35.0,,,5.0,37.0,2.0,149.5,1.0,,
2020-2021,,Arizona St.,Pac-12,28,Paige Denton,Jr,L/DS,5-11,19,11.0,61,0,1,4,-0.25,6.0,13.0,13.0,119.0,,9.0,,,,13.0,,,
2020-2021,,Arizona St.,Pac-12,16,Regan Tinkle,Fr,OH,6-1,11,1.0,20,26,11,96,0.156,,1.0,,8.0,,6.0,,3.0,1.0,28.5,,,
2020-2021,,Arizona St.,Pac-12,18,Roberta Rabelo,Fr,OH,6-0,20,2.0,64,119,68,371,0.137,2.0,,4.0,43.0,,27.0,5.0,18.0,1.0,133.0,,,
2020-2021,,Arizona St.,Pac-12,9,Shannon Shields,So,S,5-10,13,6.0,33,12,3,24,0.375,196.0,,7.0,62.0,,,,7.0,1.0,15.5,3.0,,
2020-2021,,Ark.-Pine Bluff,Swac,11,Ambria Schneringer,Jr,S,5-11,4,2.0,12,12,4,54,0.148,44.0,4.0,4.0,25.0,,1.0,,1.0,,16.5,2.0,,
2020-2021,,Ark.-Pine Bluff,Swac,2,Breana August,Jr,L,5-3,12,,12,0,1,8,-0.125,4.0,3.0,3.0,37.0,,3.0,,,,3.0,,,
2020-2021,,Ark.-Pine Bluff,Swac,24,Delilah Cardenas,Sr,DS,-,1,,1,0,0,0,,,1.0,,2.0,,,,,,1.0,,,
